id,x_minimo,x_maximo,y_minimo,y_maximo,area_pixels,perimetro_x,perimetro_y,soma_da_luminosidade,maximo_da_luminosidade,comprimento_do_transportador,tipo_do_aço_A300,tipo_do_aço_A400,espessura_da_chapa_de_aço,temperatura,index_de_bordas,index_vazio,index_quadrado,index_externo_x,indice_de_bordas_x,indice_de_bordas_y,indice_de_variacao_x,indice_de_variacao_y,indice_global_externo,log_das_areas,log_indice_x,log_indice_y,indice_de_orientaçao,indice_de_luminosidade,sigmoide_das_areas,minimo_da_luminosidade,falha_1,falha_2,falha_3,falha_4,falha_5,falha_6,falha_outros,classe_defeito
14,5261,643.0,1969029,1969068,365,39,40,39229.0,126.0,1710,1,0.0,-154.0,96.3153741096369,0.7322,0.4495,0.4359,0.0099,0.4359,0.975,-0.5174753497539099,-0.5174753497539099,1.0,2.5623,1.2305,1.5911,0.5641,-0.1603,0.9172,91,0,0,0,0,0,0,1,falha_outros
15,435,729.0,4737382,4737394,1851,304,87,201109.0,132.0,1352,1,0.0,100.0,94.7626907914194,0.6435,0.4753,0.0408,0.2175,0.9671,0.1379,-0.1686862587722918,-0.1686862587722918,0.0,3.2674,2.4683,1.0792,-0.9592,-0.1512,1.0,947,0,0,0,0,0,0,1,falha_outros
16,1214,1222.0,737538,737568,147,28,31,16908.0,133.0,1362,0,1.0,175.0,55.70088544924066,0.2056,0.3875,0.2667,0.0059,0.2857,0.9677,0.6961506638996728,-0.3038493361003271,1.0,2.1673,0.9031,1.4771,0.7333,-0.1014,0.3977,105,0,1,0,0,0,0,0,falha_2
17,7734,1103.0,4532922,4532948,364,99,60,41956.0,133.0,1358,1,0.0,-154.0,82.57370946111853,0.3756,0.6111,0.7222,0.0265,0.3636,0.4333,0.0942741997785821,0.0942741997785821,0.0,2.5611,1.5563,1.415,-0.2778,-0.0995,0.9856,99,0,0,0,0,0,1,0,falha_6
18,39,195.0,1863816,-166,13037,623,387,1505833.0,143.0,1402,0,1.0,40.0,82.62650604632742,0.0556,0.5647,0.8125,0.1113,0.2504,0.4961,-0.2724072226563632,0.7275927773436368,1.0,4.1152,2.1931,2.2833,0.1875,-0.0976,1.0,35,0,0,1,0,0,0,0,falha_3
19,828,-186.0,21571832,2451296,67,13,-194,8107.0,134.0,-214,0,1.0,40.0,79.77175244144762,0.76,0.3232,0.8182,0.0067,0.6923,1.0,-0.4229931243819694,-0.5439226424653265,1.0,1.8261,0.9542,1.0414,0.1818,,0.2051,112,0,0,0,0,0,1,0,falha_6
20,205,228.0,1094338,1094348,74,32,12,9115.0,141.0,1366,1,0.0,69.0,75.6553531020835,0.3002,0.6783,0.4348,0.0168,0.7188,0.8333,0.4396946306764662,0.4396946306764662,0.0,1.8692,1.3617,1.0,-0.5652,-0.0377,0.3819,110,0,0,0,0,0,0,1,falha_outros
21,41,218.0,2698232,2698294,6327,275,148,660291.0,126.0,1358,0,1.0,40.0,95.62086852075429,0.0604,0.4235,0.3503,0.1303,0.6436,0.4189,-0.0677328901459606,0.9322671098540392,0.0,3.8012,2.248,1.7924,-0.6497,-0.1847,1.0,40,0,0,1,0,0,0,0,falha_3
22,142,155.0,1723382,-166,60,20,11,6260.0,117.0,1360,1,0.0,70.0,79.72967823992063,0.2088,0.5385,0.7692,0.0096,0.65,0.9091,0.1515571274866993,0.2996227066064593,0.0,1.7781,1.1139,1.0,-0.2308,-0.1849,0.2408,96,0,1,0,0,0,0,0,falha_2
23,81,216.0,425023,425176,5027,748,403,611544.0,143.0,1358,1,0.0,70.0,48.63055589367991,0.1193,0.7566,0.8824,0.0994,0.1805,0.3796,0.572575544135963,-0.427424455864037,1.0,3.7013,2.1303,2.1847,0.1177,-0.0496,1.0,93,0,1,0,0,0,0,0,falha_2
24,932,943.0,3020344,3020360,128,12,16,13996.0,126.0,1687,0,1.0,50.0,75.57437737692423,0.882,0.2727,0.6875,0.0065,0.9167,1.0,-0.1633148173575548,-0.1633148173575548,1.0,2.1072,1.0414,1.2041,0.3125,-0.1458,0.3012,88,0,0,0,0,0,1,0,falha_6
25,-11,308.0,1323717,1323745,222,25,-194,25660.0,125.0,1358,1,0.0,70.0,100.71174883475936,0.433,0.4337,,0.0103,0.56,0.9655,1.0332767769129598,0.0332767769129598,1.0,2.3463,1.1461,1.4472,0.5,-0.097,0.6453,104,0,1,0,0,0,0,0,falha_2
26,4174,817.0,151240,151265,-206,32,25,16759.0,134.0,1372,0,1.0,-154.0,68.8295733923845,0.809,0.5908,0.52,0.0095,0.4063,1.0,-0.3452980732266908,-0.3452980732266908,1.0,2.1239,1.1139,1.3979,0.48,-0.0156,0.5378,114,0,0,0,0,0,0,1,falha_outros
27,1578,1592.0,178458,178484,168,36,29,18671.0,124.0,1692,0,1.0,300.0,92.17536135788936,0.1182,0.5385,0.5385,0.0083,0.3889,0.8965,0.1127094055037015,0.1127094055037015,1.0,2.2253,1.1461,1.415,0.4615,-0.1317,0.6015,99,0,0,0,0,0,0,1,falha_outros
28,275,299.0,1133715,1133734,318,39,32,39911.0,140.0,1364,0,1.0,40.0,90.4247105895708,0.4032,0.3026,0.7917,0.0176,0.6154,0.5938,-0.1801916069756415,-0.1801916069756415,0.0,2.5024,1.3802,1.2787,-0.2083,-0.0195,0.7359,116,0,0,0,0,0,0,1,falha_outros
29,251,-186.0,961360,961371,67,11,11,7550.0,125.0,1364,1,0.0,70.0,77.44115374613213,0.368,0.3232,0.8182,0.0066,0.8182,1.0,0.2602298743195849,0.4591742686562317,1.0,1.8261,0.9542,1.0414,0.1818,-0.1196,0.2051,99,0,0,0,0,0,1,0,falha_6
30,4579,630.0,2113679,-166,926,113,146,98616.0,126.0,1364,0,1.0,-154.0,81.89099546411043,0.9076,0.4194,0.0759,0.0081,0.0974,0.9931,-0.180511983668819,-0.180511983668819,1.0,2.9666,1.0414,2.1614,0.9241,-0.168,0.9998,92,0,0,0,0,1,0,0,falha_5
31,284,357.0,2286293,2286298,-206,73,17,24816.0,134.0,-214,0,1.0,40.0,79.30337415672844,0.4177,0.4466,0.0685,0.0537,1.0,0.2941,0.5556834553526813,0.5556834553526813,0.0,2.3054,1.8633,0.699,-0.9315,-0.0402,0.6031,116,0,0,0,0,0,0,1,falha_outros
32,2874,422.0,289647,289665,355,-229,58,46882.0,143.0,1360,0,1.0,-154.0,74.7267412197261,0.5397,0.6414,0.3273,0.0404,0.4741,0.3103,0.1574874545233022,0.3083295164528233,,2.5502,1.7404,1.2553,-0.6727,0.0317,0.9899,123,0,0,0,0,0,0,1,falha_outros
33,39,212.0,862475,862693,-206,794,495,,142.0,1400,0,1.0,40.0,73.31462940638613,0.0557,0.5398,0.7936,0.1236,0.2179,0.4404,0.1468991269373064,0.2927839058459779,1.0,4.2395,2.238,2.3385,0.2064,-0.0843,1.0,975,0,0,1,0,0,0,0,falha_3
34,-11,357.0,1747625,1747660,314,84,50,38597.0,140.0,1356,1,0.0,70.0,94.20667034153632,0.4749,0.7437,,0.0258,0.4167,0.7,1.2467634736309567,0.2467634736309567,0.5,2.4969,1.5441,1.5441,0.0,-0.0397,0.9979,110,0,1,0,0,0,0,0,falha_2
35,507,517.0,399348,399363,-206,10,15,11910.0,123.0,1687,1,0.0,80.0,78.26504818943546,0.6011,0.2267,0.6667,0.0059,1.0,1.0,-0.3662530949913066,-0.3662530949913066,1.0,2.0645,1.0,1.1761,0.3333,-0.1979,0.266,992,0,0,0,0,0,0,1,falha_outros
36,1126,1134.0,16578476,2636459,59,11,10,6936.0,135.0,1656,1,0.0,100.0,72.27997959617502,0.6304,0.2625,0.8,0.0048,0.7273,1.0,0.0626590785014266,0.0626590785014266,1.0,1.7708,0.9031,1.0,0.2,-0.0816,0.1852,102,0,0,0,0,0,0,1,falha_outros
37,98,168.0,3687004,395722,8035,-229,214,782154.0,134.0,1360,0,1.0,200.0,85.49179965549206,0.1441,0.4289,0.3483,0.0515,0.3704,0.9392,-0.5879010371639326,-0.5879010371639326,1.0,3.905,1.8451,2.3032,0.6517,-0.2395,1.0,80,0,0,0,0,0,0,1,falha_outros
38,85,96.0,1398904,1398914,61,-229,11,6834.0,124.0,1358,1,0.0,70.0,84.26459618129469,0.1252,0.4455,0.9091,0.0081,0.9167,0.9091,0.6015441853304708,-0.3984558146695291,0.0,1.7853,1.0414,1.0,-0.0909,-0.1247,0.2173,102,0,1,0,0,0,0,0,falha_2
39,41,232.0,844714,844903,-206,755,497,,141.0,1400,0,1.0,40.0,65.07989056909798,0.0586,0.4373,0.9895,0.1364,0.253,0.3803,0.059058370760737,1.059058370760737,0.0,4.3078,2.281,2.2765,-0.0105,-0.0767,1.0,23,0,0,1,0,0,0,0,falha_3
40,1335,1668.0,2191536,2191539,795,333,-194,95390.0,167.0,1692,1,0.0,70.0,73.558061433024,0.0284,0.2042,0.009,0.1968,1.0,0.0484,0.2215399739986231,0.2215399739986231,0.0,2.9004,2.5224,0.4771,-0.991,-0.0626,0.9905,77,0,0,0,0,0,0,1,falha_outros
41,74,80.0,16673887,2615309,62,13,14,6764.0,126.0,1358,1,0.0,70.0,63.01201622927742,0.109,0.2619,0.4286,0.0044,0.4615,1.0,0.0514104843569911,0.0514104843569911,1.0,1.7924,0.7782,1.1461,0.5714,-0.1477,0.1892,97,0,0,0,0,0,0,1,falha_outros
42,1365,1374.0,4174907,4174926,115,9,19,9441.0,109.0,1387,0,1.0,50.0,105.50128981753387,0.0188,0.3275,0.4737,0.0065,1.0,1.0,0.0702237158251202,0.1802103124631727,1.0,2.0607,0.9542,1.2787,0.5263,-0.3586,0.2942,44,0,0,0,0,0,0,1,falha_outros
43,4,17.0,2445033,2445050,-206,19,-194,5940.0,77.0,1358,1,0.0,70.0,76.3726227453649,0.0059,0.5611,0.7647,0.0096,0.6842,1.0,0.152975690994232,0.301705418510684,1.0,1.9868,1.1139,1.2305,0.2353,,0.3678,47,0,1,0,0,0,0,0,falha_2
44,6681,832.0,928256,928264,53,9,-194,9033.0,181.0,1387,0,1.0,-154.0,73.23208827172523,0.8003,0.1719,1.0,0.0058,0.8889,1.0,-0.4435565971102282,0.5564434028897718,0.5,1.7243,0.9031,0.9031,0.0,0.3315,0.1696,1239,0,0,1,0,0,0,0,falha_3
45,-11,1619.0,1671950,1671963,69,10,14,5361.0,93.0,1656,1,0.0,80.0,74.99832755720224,0.0447,0.3365,0.6154,0.0048,0.8,0.9286,-0.2159532625184126,-0.2159532625184126,1.0,1.8389,0.9031,1.1139,0.3846,-0.393,0.2105,63,0,0,0,0,0,0,1,falha_outros
46,41,58.0,8055612,997556,128,38,27,16028.0,134.0,1400,0,1.0,40.0,72.45810440911295,0.0586,0.4622,0.8235,0.0121,0.4474,0.5185,-0.1381916312879362,0.8618083687120638,0.0,2.1072,1.2305,1.1461,-0.1765,-0.0217,0.3945,120,0,0,1,0,0,0,0,falha_3
47,41,189.0,1853169,-166,10880,649,409,1245114.0,141.0,1400,0,1.0,40.0,78.16968340158074,0.0586,0.5676,0.8706,0.1057,0.228,0.4157,0.1846057161733356,0.34814410780562,1.0,4.0366,2.1703,2.2304,0.1294,-0.1059,1.0,33,0,0,1,0,0,0,0,falha_3
48,41,209.0,4639210,4639275,5828,296,169,618846.0,,-214,0,1.0,40.0,92.35086322270833,0.0604,0.4663,0.3869,0.1237,0.5676,0.3846,0.1030854868705384,1.1030854868705384,0.0,3.7655,2.2253,1.8129,-0.6131,-0.1704,1.0,48,0,0,1,0,0,0,0,falha_3
49,61,213.0,7783272,-166,-206,157,95,417036.0,127.0,1362,0,1.0,40.0,80.97340384351322,0.0896,0.4759,0.3158,0.1116,0.9682,0.5053,-0.5289120466088202,0.4710879533911798,0.0,3.5825,2.1818,1.6812,-0.6842,-0.148,1.0,784,0,0,1,0,0,0,0,falha_3
50,155,187.0,-20,673281,129,50,25,16937.0,141.0,-214,0,1.0,50.0,66.12397682772206,0.2289,0.6335,0.3438,0.0236,0.64,0.44,-0.5263958158012503,-0.6957367947427802,0.0,2.1106,1.5051,1.0414,-0.6563,0.0257,0.5822,123,0,0,0,0,0,0,1,falha_outros
51,3888,734.0,684933,685134,16521,926,591,1992604.0,149.0,1400,0,1.0,-154.0,68.52007104995957,0.0557,0.8817,0.2892,0.4964,0.7505,0.3401,-0.1155246841248949,0.8844753158751051,,4.218,2.842,2.3032,-0.7108,-0.0577,1.0,21,0,0,1,0,0,0,0,falha_3
52,3616,655.0,5303273,5303295,336,30,25,35912.0,127.0,1362,0,1.0,-154.0,81.74604664183391,0.931,0.2727,0.9546,0.0154,0.7,0.88,-0.2030766000917876,-0.2030766000917876,1.0,2.5263,1.3222,1.3424,0.0454,-0.165,0.7436,79,0,0,0,0,0,1,0,falha_6
53,-11,1360.0,4807459,-166,135,12,-194,13096.0,109.0,1387,0,1.0,50.0,71.67421868612475,0.0389,0.25,0.45,0.0065,0.75,0.9524,0.028055824207991,0.11830009879935,1.0,2.1303,0.9542,1.301,0.55,-0.2421,0.3068,838,0,0,0,0,0,1,0,falha_6
54,436,453.0,9983054,1120571,369,18,34,41469.0,148.0,-214,0,1.0,150.0,78.09181294667687,0.5169,0.3616,0.5,0.0101,0.9444,1.0,0.3092998567487853,0.3092998567487853,1.0,2.567,1.2305,1.5315,0.5,-0.122,0.8627,52,0,0,0,0,0,0,1,falha_outros
55,1644,1661.0,1554711,1554760,468,-229,54,41524.0,101.0,1692,1,0.0,70.0,106.45701587583306,0.0366,0.4382,0.3469,0.01,0.2429,0.9074,0.2793840357348595,0.2793840357348595,1.0,2.6702,1.2305,1.6902,0.6531,-0.3068,0.9718,80,0,0,0,0,0,0,1,falha_outros
56,39,178.0,21748360,2627391,7998,558,-194,889727.0,140.0,1400,0,1.0,40.0,69.94295263376573,0.0557,0.6448,0.858,0.0993,0.2491,0.4723,-0.2517652569667915,0.7482347430332085,1.0,3.903,2.143,2.2095,0.142,-0.1309,1.0,49,0,0,1,0,0,0,0,falha_3
57,6,14.0,393457,393488,196,11,31,22532.0,134.0,1687,0,1.0,200.0,65.53802919788487,0.0071,0.2097,0.2581,0.0047,0.7273,1.0,-0.0927637127553643,-0.0927637127553643,1.0,2.2923,0.9031,1.4914,0.7419,-0.1019,0.4106,97,0,0,0,0,0,0,1,falha_outros
58,185,199.0,387402,387414,75,23,12,8535.0,127.0,1356,1,0.0,70.0,72.5973357586067,0.2729,0.5536,0.8571,0.0103,0.6087,1.0,1.0993790294210692,0.0993790294210691,0.0,1.8751,1.1461,1.0792,-0.1429,-0.1109,0.2901,104,0,1,0,0,0,0,0,falha_2
59,253,265.0,220228,220253,200,30,-194,18651.0,108.0,1692,0,1.0,300.0,62.00828046184159,0.2991,0.3333,0.48,0.0071,0.4,1.0,0.2926635381367077,0.2926635381367077,1.0,2.301,1.0792,1.3979,0.52,-0.2715,0.4963,66,0,0,0,0,0,0,1,falha_outros
60,10,21.0,-20,204953,135,16,23,8781.0,86.0,1356,1,0.0,70.0,92.86104027802098,0.0148,0.3864,0.55,0.0081,0.6875,0.8696,0.856247728646413,-0.1437522713535869,1.0,2.1303,1.0414,1.301,0.45,-0.4918,0.3663,46,0,1,0,0,0,0,0,falha_2
61,69,81.0,-20,2001794,119,20,18,11516.0,117.0,-214,1,0.0,70.0,68.40701561857192,0.1021,0.4491,0.6667,0.0089,0.6,1.0,0.9443023070008548,-0.0556976929991451,1.0,2.0756,1.0792,1.2553,0.3333,-0.244,0.3601,84,0,1,0,0,0,0,0,falha_2
62,39,173.0,2616577,2616725,8344,558,338,945879.0,141.0,1400,0,1.0,40.0,70.26035093490371,0.0557,0.5793,0.9054,0.0957,0.2401,0.4379,-0.3319004922018084,0.6680995077981915,1.0,3.9214,2.1271,2.1703,0.0946,-0.1144,1.0,52,0,0,1,0,0,0,0,falha_3
63,6808,976.0,2690125,2690135,67,-229,-194,6947.0,119.0,1690,1,0.0,-154.0,66.66569782853588,0.845,0.2556,0.9,0.0053,0.6923,1.0,-0.3588619872242012,-0.3588619872242012,1.0,1.8261,0.9542,1.0,0.1,-0.19,0.1954,84,0,0,0,0,0,1,0,falha_6
64,22,31.0,-20,2097270,60,15,13,5573.0,103.0,1354,1,0.0,70.0,63.08345100433424,0.0325,0.4872,0.6923,0.0066,0.6,1.0,1.2437577467182594,0.2437577467182594,1.0,1.7781,0.9542,1.1139,0.3077,-0.2743,0.2253,81,0,1,0,0,0,0,0,falha_2
65,1129,1137.0,1207379,1207406,101,27,27,11776.0,133.0,1694,0,1.0,70.0,79.45148901154481,0.6576,0.5324,0.2963,0.0047,0.2963,1.0,0.4068720085712469,0.4068720085712469,1.0,2.0043,0.9031,1.4314,0.7037,-0.0891,0.3601,104,0,0,0,0,0,0,1,falha_outros
66,990,-186.0,1973168,1973176,59,8,8,6543.0,122.0,1622,1,0.0,70.0,72.48832068910227,0.7694,0.0781,1.0,0.0049,1.0,1.0,-0.0216030364741001,-0.0216030364741001,0.5,1.7708,0.9031,0.9031,0.0,-0.1336,0.1696,93,0,0,0,0,0,1,0,falha_6
67,1287,1302.0,3204829,3204845,191,17,16,20590.0,133.0,1627,0,1.0,40.0,61.95307743833546,0.3995,0.2042,0.9375,0.0092,0.8824,1.0,0.3010598693676072,0.3010598693676072,1.0,2.281,1.1761,1.2041,0.0625,-0.1578,0.3977,67,0,0,0,0,0,0,1,falha_outros
68,615,623.0,-20,2197376,111,21,24,12919.0,127.0,1366,0,1.0,100.0,76.27784414390405,0.9004,0.4219,0.3333,0.0059,0.381,1.0,0.1084908075142902,0.1084908075142902,1.0,2.0453,0.9031,1.3802,0.6667,-0.0907,0.3241,106,0,0,0,0,1,0,0,falha_5
69,63,92.0,-20,-166,58,29,10,7618.0,165.0,1690,1,0.0,70.0,83.65660841574689,0.0746,0.3333,0.1035,0.0172,1.0,0.3,-0.1935359263815372,-0.1935359263815372,0.0,1.7634,1.4624,0.4771,-0.8965,0.0261,0.1923,100,0,0,0,0,0,0,1,falha_outros
70,3170,373.0,929482,929513,213,42,39,20512.0,118.0,1374,0,1.0,-154.0,75.58014014453663,0.5196,0.5706,0.5161,0.0116,0.381,0.7949,0.1084186816525241,0.1084186816525241,1.0,2.3284,1.2041,1.4914,0.4839,-0.2476,0.7844,80,0,0,0,0,0,0,1,falha_outros
71,-11,149.0,356611,356625,170,39,20,22467.0,141.0,1362,0,1.0,100.0,85.99281447473346,0.1836,0.494,0.5833,0.0176,0.6154,0.7,0.089072117208267,0.2078832292750273,0.0,2.2304,1.3802,1.1461,-0.4167,0.0325,0.556,123,0,0,0,0,0,1,0,falha_6
72,1215,1232.0,1545468,1545486,184,-229,22,22708.0,135.0,1628,0,1.0,120.0,96.98536107727782,0.4865,0.3987,0.9444,0.0104,0.4048,0.8182,-0.0107478117329854,-0.0107478117329854,1.0,2.2648,1.2305,1.2553,0.0556,-0.0358,0.5063,115,0,0,0,0,0,1,0,falha_6
73,1134,1145.0,5798193,5798213,143,20,21,16538.0,134.0,1362,0,1.0,40.0,88.1449479325066,0.3187,0.35,0.55,0.0081,0.55,0.9524,0.4693930967442018,0.4693930967442018,1.0,2.1553,1.0414,1.301,0.45,-0.0965,0.3663,104,0,0,0,0,0,1,0,falha_6
74,39,218.0,965451,965599,16821,670,425,1972773.0,141.0,1398,0,1.0,40.0,82.15851695602154,0.0558,0.365,0.8268,0.128,0.2672,0.3482,-0.7859235312269233,0.2140764687730767,0.0,4.2259,2.2529,2.1703,-0.1732,-0.0838,1.0,29,0,0,1,0,0,0,0,falha_3
75,-11,864.0,519257,519266,57,10,-194,9848.0,183.0,1387,0,1.0,40.0,88.12194125453792,0.7541,0.2083,0.8889,0.0058,0.8,0.8182,0.2465707513125671,1.2465707513125672,1.0,1.7559,0.9031,0.9542,0.1111,0.3498,0.1773,161,0,0,1,0,0,0,0,falha_3
76,6032,1047.0,603596,603608,80,12,12,9136.0,133.0,1358,0,1.0,-154.0,102.27112889501537,0.458,0.2593,0.75,0.0066,0.75,1.0,-0.3728541480157819,-0.4703094116237094,1.0,1.9031,0.9542,1.0792,0.25,-0.1078,0.215,100,0,0,0,0,0,1,0,falha_6
77,-11,219.0,1704636,1704704,6625,351,173,686356.0,124.0,1358,0,1.0,40.0,65.58752017559146,0.0604,0.4527,0.382,0.1311,0.5071,0.3931,-0.0897022051397602,0.9102977948602398,0.0,3.8212,2.2504,1.8325,-0.618,-0.1906,1.0,951,0,0,1,0,0,0,0,falha_3
78,1116,1151.0,4387848,4387862,175,53,32,20658.0,134.0,1364,1,0.0,80.0,86.32718906318948,0.3123,0.6429,0.4,0.0257,0.6604,0.4375,0.0275282329606506,0.0275282329606506,0.0,2.243,1.5441,1.1461,-0.6,-0.0778,0.7776,104,0,0,0,0,0,1,0,falha_6
79,1312,1322.0,35038393,4118372,77,15,14,8558.0,119.0,-214,0,1.0,40.0,70.0304787957704,0.0415,0.45,0.7143,0.0074,0.6667,1.0,-0.5962706743802678,-0.5962706743802678,1.0,1.8865,1.0,1.1461,0.2857,-0.1317,0.2532,104,0,0,0,0,0,1,0,falha_6
80,1250,153.0,310621,310797,-206,365,268,287273.0,143.0,1394,0,1.0,-154.0,82.41716794067518,0.1621,0.676,0.2273,0.0287,0.1096,0.6567,0.3652420443864282,0.6133514313460314,1.0,3.3581,1.6021,2.2455,0.7727,-0.0161,1.0,113,0,0,0,0,0,0,1,falha_outros
81,63,82.0,287835,287869,400,49,42,35427.0,101.0,1356,1,0.0,70.0,66.7791532788509,0.0929,0.3808,0.5588,0.014,0.3878,0.8095,1.107133771453524,0.1071337714535239,1.0,2.6021,1.2787,1.5315,0.4412,-0.3081,0.9082,78,0,1,0,0,0,0,0,falha_2
82,39,-186.0,409491,409539,3920,-229,88,407163.0,125.0,1360,0,1.0,40.0,87.55897736055724,0.0573,0.3995,0.3529,0.1,0.8193,0.5454,0.4433682134224548,1.4433682134224548,0.0,3.5933,2.1335,1.6812,-0.6471,-0.1885,1.0,45,0,0,1,0,0,0,0,falha_3
83,449,549.0,2212600,2212608,368,110,35,43968.0,133.0,1356,0,1.0,40.0,82.79924690604828,0.6622,0.54,0.08,0.0737,0.9091,0.2286,-0.1554810654820942,-0.1554810654820942,0.0,2.5659,2.0,0.9031,-0.92,-0.0666,0.965,111,0,0,0,0,0,0,1,falha_outros
84,1111,1130.0,2527319,2527390,747,62,72,76627.0,127.0,1280,1,0.0,100.0,94.995023691642,0.2344,0.4463,0.2676,0.0148,0.3065,0.9861,-0.2425480808679562,-0.2425480808679562,1.0,2.8733,1.2787,1.8513,0.7324,-0.1986,0.9991,85,0,0,0,0,0,0,1,falha_outros
85,25,34.0,2588285,281513,891,36,155,76438.0,103.0,1353,0,1.0,185.0,77.28726987002976,0.0369,0.3613,0.0581,0.0066,0.25,1.0,-0.1505271130753609,-0.1505271130753609,1.0,2.9499,0.9542,2.1903,0.9419,-0.3298,0.9993,70,0,0,0,0,0,0,1,falha_outros
